"model","repeat_id","fold_id","n_test","mae","rmse","rmsle","r2","mape","prediksi_negatif_sebelum_batas"
"random_forest_log",4,10,90,5278187820.2343,13201143283.8138,0.392712955965951,0.563436099059601,30.7689929355836,0
"linear_raw",5,1,100,7896710437.87817,23720604353.8592,3.41988500165866,0.503883943143551,32.0339658287171,3
"linear_log",5,1,100,10098980327.2653,39565750296.7295,0.399445956758575,-0.38029080619411,32.3452992024399,0
"spline_log",5,1,100,11390200522.4055,51761091342.2532,0.399241460342,-1.36231948808539,32.1268324875935,0
"random_forest_log",5,1,100,8149976151.82438,24102932419.4667,0.427814471512465,0.487762286987817,32.5208954324629,0
"linear_raw",5,2,100,6740100499.47605,19432731846.1051,1.97945272332278,0.42299802247524,33.1649378950585,1
"linear_log",5,2,100,6591230168.19149,18633720074.2561,0.400508040849035,0.469471499118448,32.5513996968355,0
"spline_log",5,2,100,6674620279.77363,19088900440.1365,0.401680958891063,0.443235659875227,32.519361876389,0
"random_forest_log",5,2,100,6973181774.8736,18609955974.7926,0.428035148346353,0.470823831625912,36.3206560326412,0
"linear_raw",5,3,100,7642035685.11119,15387836647.2625,2.08959431487474,0.595882064706892,46.5918849727523,1
"linear_log",5,3,100,7977407096.22211,15938448080.9986,0.464882267206412,0.566444145619087,40.7293161402256,0
"spline_log",5,3,100,7429411733.87928,14851867091.6759,0.464057522989571,0.623543240977597,40.1002217256202,0
"random_forest_log",5,3,100,7758660299.53171,17113200371.5576,0.45839729555806,0.500177892337045,39.775239230968,0
"linear_raw",5,4,91,5302150948.77374,9592113187.84628,2.98737061610285,0.577136359956661,42.0149870124004,2
"linear_log",5,4,91,5056335513.5837,9174475666.71217,0.401787517162025,0.613157429434048,34.6879602169601,0
"spline_log",5,4,91,4971666429.64544,9217095481.58297,0.411901331366845,0.609554944736368,34.407813725778,0
"random_forest_log",5,4,91,5018115642.02908,9761326021.9614,0.416553956042797,0.562085434446232,34.5325697447759,0
"linear_raw",5,5,90,4087902571.63084,6061441135.55873,2.09406677661735,0.68660282875277,39.9913522134896,1
"linear_log",5,5,90,4113917668.17744,6195998553.15146,0.382435653861057,0.672534234745937,35.2537529289063,0
"spline_log",5,5,90,4004162530.88981,5977412977.13495,0.378439221561847,0.695231686025395,34.6530143528858,0
"random_forest_log",5,5,90,4054487426.76705,7474206538.45065,0.369207157920685,0.523488399590302,33.3620037735762,0
"linear_raw",5,6,90,6675344934.15978,12404696169.5545,2.09914135257993,0.506890508534261,42.9409251026725,1
"linear_log",5,6,90,5604887703.71498,9665573524.53654,0.423816835360015,0.700617537259813,38.2792906801924,0
"spline_log",5,6,90,5862846502.51669,10909900827.2417,0.425842711088247,0.618571882399328,38.0160720211874,0
"random_forest_log",5,6,90,6204219857.84908,10156303282.284,0.443754643102179,0.66944599673709,41.4488364582385,0
"linear_raw",5,7,90,5534760843.65456,14300713965.3108,2.08945862712199,0.535266731712103,33.6407727869972,1
"linear_log",5,7,90,5628636685.47052,14890798842.0345,0.388181752200152,0.496123253917988,28.422508733782,0
